# LAMMPS data file

6000 atoms
4 atom types

0.0 26.789730072 xlo xhi
0.0 46.5447616577 ylo yhi
0.0 49.9407077933 zlo zhi
0.0 -9.1225643158 0.0 xy xz yz

Masses

1   6.941  # Li
2 118.71   # Sn
3  15.9994 # O
4  58.6934 # Ni

Atoms  # charge

451 1 0.0 16.434376686 8.579130599 4.985071179
452 1 0.0 14.609863796 8.579130599 14.973212886
453 1 0.0 12.785351041 8.579130599 24.96135385
454 1 0.0 10.960838015 8.579130599 34.949496301
455 1 0.0 9.136325261 8.579130599 44.937637265
456 1 0.0 16.434376686 17.888082375 4.985071179
457 1 0.0 14.609863796 17.888082375 14.973212886
458 1 0.0 12.785351041 17.888082375 24.96135385
459 1 0.0 10.960838015 17.888082375 34.949496301
460 1 0.0 9.136325261 17.888082375 44.937637265
461 1 0.0 16.434376686 27.197035539 4.985071179
462 1 0.0 14.609863796 27.197035539 14.973212886
463 1 0.0 12.785351041 27.197035539 24.96135385
464 1 0.0 10.960838015 27.197035539 34.949496301
465 1 0.0 9.136325261 27.197035539 44.937637265
466 1 0.0 16.434376686 36.505987316 4.985071179
467 1 0.0 14.609863796 36.505987316 14.973212886
468 1 0.0 12.785351041 36.505987316 24.96135385
469 1 0.0 10.960838015 36.505987316 34.949496301
470 1 0.0 9.136325261 36.505987316 44.937637265
471 1 0.0 16.434376686 45.814939093 4.985071179
472 1 0.0 14.609863796 45.814939093 14.973212886
473 1 0.0 12.785351041 45.814939093 24.96135385
474 1 0.0 10.960838015 45.814939093 34.949496301
475 1 0.0 9.136325261 45.814939093 44.937637265
476 1 0.0 21.792322381 8.579130599 4.985071179
477 1 0.0 19.967809491 8.579130599 14.973212886
478 1 0.0 18.143296737 8.579130599 24.96135385
479 1 0.0 16.31878371 8.579130599 34.949496301
480 1 0.0 14.494270956 8.579130599 44.937637265
481 1 0.0 21.792322381 17.888082375 4.985071179
482 1 0.0 19.967809491 17.888082375 14.973212886
483 1 0.0 18.143296737 17.888082375 24.96135385
484 1 0.0 16.31878371 17.888082375 34.949496301
485 1 0.0 14.494270956 17.888082375 44.937637265
486 1 0.0 21.792322381 27.197035539 4.985071179
487 1 0.0 19.967809491 27.197035539 14.973212886
488 1 0.0 18.143296737 27.197035539 24.96135385
489 1 0.0 16.31878371 27.197035539 34.949496301
490 1 0.0 14.494270956 27.197035539 44.937637265
491 1 0.0 21.792322381 36.505987316 4.985071179
492 1 0.0 19.967809491 36.505987316 14.973212886
493 1 0.0 18.143296737 36.505987316 24.96135385
