# Time-averaged data for fix f2
# TimeStep c_Comsd[1] c_Comsd[2] c_Comsd[3] c_Comsd[4]
43050 0.00794753 0.0105884 0.0143779 0.0329139
43055 0.00818177 0.0106558 0.0139247 0.0327623
43060 0.008424 0.0107646 0.0133072 0.0324958
43065 0.00864901 0.0108932 0.0125537 0.0320959
43070 0.00883596 0.0110209 0.01171 0.0315668
43075 0.00897102 0.0111307 0.010831 0.0309327
43080 0.00904865 0.0112107 0.00997032 0.0302297
43085 0.00907089 0.0112569 0.0091771 0.0295049
43090 0.0090448 0.0112746 0.00849233 0.0288117
43095 0.00898074 0.0112779 0.00793986 0.0281985
43100 0.00889244 0.0112898 0.00752954 0.0277118
43105 0.00879638 0.0113391 0.00726222 0.0273977
43110 0.00871042 0.0114563 0.00713434 0.0273011
43115 0.00865241 0.0116685 0.00714223 0.0274631
43120 0.00863552 0.0119952 0.00728626 0.027917
43125 0.00866777 0.0124431 0.00757075 0.0286816
43130 0.00875145 0.0130019 0.00800139 0.0297547
43135 0.00888289 0.013647 0.0085797 0.0311095
43140 0.0090539 0.0143428 0.00929798 0.0326947
43145 0.00925411 0.0150465 0.0101362 0.0344369
43150 0.00947468 0.0157099 0.0110622 0.0362468
43155 0.0097145 0.016284 0.0120324 0.038031
43160 0.00997949 0.0167273 0.012997 0.0397038
43165 0.0102794 0.017009 0.0139045 0.0411929
43170 0.0106246 0.0171128 0.0147048 0.0424421
43175 0.0110207 0.0170387 0.0153555 0.0434148
43180 0.0114647 0.016802 0.0158263 0.044093
43185 0.0119436 0.0164306 0.0160991 0.0444733
43190 0.0124346 0.0159602 0.016171 0.0445659
43195 0.0129072 0.015431 0.0160525 0.0443907
43200 0.0133282 0.0148832 0.0157633 0.0439748
43205 0.0136653 0.0143526 0.0153331 0.0433511
43210 0.0138893 0.0138672 0.0147972 0.0425537
43215 0.0139792 0.0134426 0.0141907 0.0416124
43220 0.0139264 0.0130811 0.0135462 0.0405538
43225 0.0137353 0.0127813 0.0128939 0.0394106
43230 0.0134233 0.012537 0.012258 0.0382182
43235 0.0130183 0.0123372 0.0116581 0.0370136
43240 0.0125544 0.0121683 0.0111111 0.0358338
43245 0.0120654 0.0120159 0.0106335 0.0347148
43250 0.0115804 0.0118682 0.0102402 0.0336888
43255 0.0111196 0.0117196 0.00994044 0.0327796
43260 0.010695 0.0115712 0.00974019 0.0320064
43265 0.0103089 0.0114304 0.00963866 0.031378
43270 0.00995786 0.0113073 0.00962736 0.0308925
43275 0.00963628 0.0112115 0.00968957 0.0305373
43280 0.00933719 0.0111487 0.00980208 0.0302879
43285 0.00905448 0.0111211 0.00993653 0.0301121
43290 0.00878382 0.0111205 0.0100642 0.0299685
43295 0.00852856 0.0111343 0.01016 0.0298228
43300 0.00829718 0.0111474 0.0102065 0.0296511
43305 0.00810044 0.0111421 0.0101936 0.0294362
43310 0.00795143 0.0111024 0.010122 0.0291759
43315 0.00786351 0.0110181 0.0100035 0.0288851
43320 0.00784914 0.010885 0.0098559 0.0285901
43325 0.00791723 0.0107081 0.00969924 0.0283245
43330 0.00807068 0.0105019 0.0095511 0.0281237
43335 0.00830685 0.0102883 0.00942449 0.0280197
43340 0.00861789 0.0100898 0.00932526 0.028033
43345 0.00898596 0.0099301 0.00924708 0.0281631
43350 0.00938221 0.00983132 0.00917779 0.0283913
43355 0.00977278 0.00980711 0.00910507 0.028685
43360 0.0101238 0.00985801 0.00902159 0.0290034
43365 0.0104045 0.00997396 0.00892269 0.0293011
43370 0.0105946 0.010132 0.00880938 0.0295359
43375 0.0106841 0.0103013 0.00869299 0.0296784
43380 0.0106729 0.0104506 0.00859569 0.0297192
43385 0.0105689 0.0105512 0.00854637 0.0296665
43390 0.0103865 0.0105823 0.00857196 0.0295407
43395 0.0101447 0.0105336 0.00869234 0.0293706
43400 0.00986527 0.0104076 0.00891746 0.0291903
43405 0.00957026 0.0102198 0.00924471 0.0290348
43410 0.00928441 0.00999431 0.00966051 0.0289392
43415 0.00903211 0.00976304 0.0101391 0.0289343
43420 0.00883694 0.00955988 0.0106442 0.0290411
43425 0.00872155 0.00941739 0.0111359 0.0292749
43430 0.00870357 0.00936112 0.0115741 0.0296388
43435 0.00879336 0.00940831 0.0119241 0.0301258
43440 0.00899333 0.00955827 0.0121558 0.0307074
43445 0.00929412 0.00979873 0.0122506 0.0313435
43450 0.00967458 0.0101093 0.0122071 0.0319909
43455 0.0101052 0.0104642 0.0120412 0.0326106
43460 0.0105533 0.0108373 0.0117839 0.0331745
43465 0.010989 0.011207 0.011475 0.0336711
43470 0.0113905 0.0115604 0.0111572 0.0341081
43475 0.0117469 0.0118953 0.0108712 0.0345134
43480 0.0120589 0.0122195 0.0106469 0.0349254
43485 0.012337 0.0125463 0.0104984 0.0353817
43490 0.0125983 0.0128896 0.0104253 0.0359132
43495 0.0128618 0.0132593 0.0104137 0.0365348
43500 0.0131427 0.0136577 0.0104407 0.0372411
43505 0.0134498 0.0140728 0.0104755 0.0379981
43510 0.0137781 0.0144845 0.0104864 0.0387491
43515 0.0141107 0.014868 0.0104484 0.0394272
43520 0.0144207 0.0151971 0.0103486 0.0399664
43525 0.0146775 0.0154493 0.0101878 0.0403146
43530 0.0148514 0.0156124 0.00998091 0.0404447
43535 0.0149197 0.0156836 0.00975578 0.0403591
43540 0.0148687 0.0156701 0.00954483 0.0400836
