# Time-averaged data for fix f4
# TimeStep c_Crmsd[1] c_Crmsd[2] c_Crmsd[3] c_Crmsd[4]
43250 0.00430685 0.0058412 0.00559134 0.0157394
43255 0.00408019 0.00578411 0.00546525 0.0153296
43260 0.00386303 0.00573158 0.00530276 0.0148974
43265 0.00366408 0.00568331 0.00510982 0.0144572
43270 0.00349192 0.00563769 0.00489558 0.0140252
43275 0.00335395 0.00559208 0.00467134 0.0136174
43280 0.00325541 0.00554324 0.00444912 0.0132478
43285 0.00319853 0.00548774 0.00424012 0.0129264
43290 0.00318196 0.00542248 0.00405305 0.0126575
43295 0.00320065 0.0053452 0.00389281 0.0124387
43300 0.00324634 0.00525483 0.00376104 0.0122622
43305 0.00330836 0.00515171 0.00365648 0.0121166
43310 0.00337478 0.00503775 0.00357566 0.0119882
43315 0.00343372 0.00491626 0.00351375 0.0118637
43320 0.00347462 0.00479163 0.00346559 0.0117318
43325 0.00348953 0.00466893 0.00342662 0.0115851
43330 0.00347394 0.00455334 0.00339369 0.011421
43335 0.00342732 0.00444965 0.00336558 0.0112425
43340 0.00335291 0.00436186 0.0033431 0.0110579
43345 0.00325709 0.00429276 0.00332888 0.0108787
43350 0.00314815 0.00424365 0.0033268 0.0107186
43355 0.00303489 0.00421424 0.00334111 0.0105902
43360 0.00292534 0.00420271 0.00337555 0.0105036
43365 0.00282584 0.00420602 0.00343251 0.0104644
43370 0.00274063 0.00422034 0.00351254 0.0104735
43375 0.00267206 0.00424154 0.00361403 0.0105276
43380 0.00262121 0.00426563 0.00373325 0.0106201
43385 0.00258864 0.00428917 0.00386471 0.0107425
43390 0.00257512 0.00430961 0.00400172 0.0108864
43395 0.00258219 0.00432546 0.00413722 0.0110449
43400 0.00261226 0.00433648 0.0042647 0.0112134
43405 0.00266826 0.00434361 0.00437886 0.0113907
43410 0.00275268 0.00434888 0.00447535 0.0115769
43415 0.00286658 0.0043551 0.00455117 0.0117729
43420 0.00300858 0.00436544 0.00460527 0.0119793
43425 0.00317406 0.00438295 0.00463835 0.0121954
43430 0.00335492 0.00441017 0.00465245 0.0124175
43435 0.00354001 0.00444891 0.00465041 0.0126393
43440 0.00371629 0.00450015 0.00463536 0.0128518
43445 0.0038704 0.00456417 0.00461022 0.0130448
43450 0.00399046 0.00464053 0.00457736 0.0132083
43455 0.00406772 0.00472818 0.00453838 0.0133343
43460 0.00409774 0.00482537 0.00449403 0.0134171
43465 0.00408102 0.00492953 0.00444427 0.0134548
43470 0.00402287 0.0050371 0.00438857 0.0134485
43475 0.00393269 0.00514357 0.00432632 0.0134026
43480 0.00382273 0.00524363 0.00425742 0.0133238
43485 0.0037067 0.00533161 0.00418292 0.0132212
43490 0.00359823 0.00540216 0.0041054 0.0131058
43495 0.00350951 0.00545111 0.00402909 0.0129897
43500 0.00345001 0.00547623 0.00395964 0.0128859
43505 0.0034256 0.0054778 0.00390347 0.0128069
43510 0.00343791 0.0054588 0.00386689 0.0127636
43515 0.00348425 0.00542483 0.00385511 0.0127642
